id acc rt angle
1 1 4.444 150
2 1 4.508 150
3 1 1.7 150
4 1 1.636 150
5 1 2.569 150
6 1 4.623 150
7 1 4.127 150
8 1 2.468 150
9 1 1.451 150
10 1 3.813 150
11 1 1.477 150
12 1 3.931 150
13 1 0.979 150
14 1 1.775 150
15 1 2.207 150
16 1 2.497 150
17 1 1.198 150
18 1 3.034 150
19 1 1.334 150
20 1 3.645 150
21 1 1.493 150
22 1 2.27 150
23 1 1.506 150
24 1 4.288 150
25 1 1.688 150
26 1 5.629 150
27 1 1.652 150
28 1 2.469 150
29 1 2.84 150
30 1 1.487 150
31 1 3.381 150
32 1 1.952 150
33 1 3.765 150
34 1 1.486 150
35 1 2.226 150
36 1 1.791 150
37 1 5.683 150
38 1 1.947 150
39 1 2.742 150
40 1 2.954 150
41 1 2.676 150
42 1 2.133 150
43 1 3.032 150
44 0 6.38 150
45 1 2.195 150
46 0 6.195 150
47 1 3.396 150
48 0 NA 150
49 1 3.628 150
50 1 2.691 150
51 1 2.859 150
52 1 5.055 150
53 1 2.403 150
54 0 3.859 150
55 1 2.146 150
56 1 3.667 150
57 0 1.003 150
58 1 2.499 150
59 1 1.483 150
60 1 3.667 150
61 0 1.024 150
62 1 3.626 150
63 1 2.531 150
64 0 6.194 150
65 0 3.619 150
66 1 3.059 150
67 1 5.059 150
68 1 2.699 150
69 0 1.993 150
70 1 5.011 150
71 1 5.869 150
72 1 5.46 150
73 0 2.747 150
74 1 1.707 150
75 1 2.674 150
76 1 3.939 150
77 1 3.787 150
78 1 5.467 150
79 1 2.569 150
80 1 2.962 150
81 1 1.883 150
82 1 3.392 150
83 1 2.97 150
84 1 6.643 150
85 1 2.415 150
86 0 4.517 150
87 0 5.281 150
88 1 1.851 150
89 1 2.142 150
90 0 3.726 150
91 1 2.352 150
92 1 2.734 150
93 0 3.897 150
94 1 2.075 150
95 1 5.288 150
96 1 4.324 150
97 1 5.862 150
98 1 4.763 150
99 1 4.215 150
100 1 2.224 150
101 1 2.218 150
102 1 2.109 150
103 1 2.312 150
104 1 2.3 150
105 0 3.077 150
106 1 5.055 150
107 1 2.101 150
108 1 3.833 150
109 1 1.569 150
110 1 1.942 150
111 1 4.686 150
112 0 5.855 150
113 1 3.764 150
114 1 4.491 150
115 1 3.636 150
116 0 2.132 150
117 1 2.371 150
118 1 2.144 150
119 1 3.108 150
120 0 3.859 150
121 0 4.129 150
1 1 2.328 50
2 1 4.424 50
3 1 1.205 50
4 1 2.63 50
5 1 1.65 50
6 1 3.021 50
7 1 1.677 50
8 1 5.723 50
9 1 3.219 50
10 1 3.263 50
11 1 0.997 50
12 1 4.766 50
13 1 0.839 50
14 1 1.98 50
15 1 1.249 50
16 1 2.741 50
17 1 2.528 50
18 1 3.206 50
19 1 1.176 50
20 1 2.77 50
21 1 1.317 50
22 1 4.243 50
23 1 1.005 50
24 1 4.818 50
25 1 1.841 50
26 1 3.253 50
27 1 2.921 50
28 1 1.932 50
29 1 2.921 50
30 1 1.171 50
31 1 2.176 50
32 1 1.178 50
33 1 3.699 50
34 1 2.163 50
35 1 4.408 50
36 1 2.037 50
37 1 4.319 50
38 1 1.808 50
39 1 2.882 50
40 1 1.884 50
41 1 2.449 50
42 1 1.98 50
43 1 2.829 50
44 1 4.073 50
45 1 2.13 50
46 1 3.522 50
47 1 3.354 50
48 1 2.802 50
49 1 5.484 50
50 0 NA 50
51 1 1.458 50
52 1 1.338 50
53 1 2.681 50
54 1 3.056 50
55 1 0.858 50
56 1 0.923 50
57 0 2.371 50
58 1 2.418 50
59 1 4.34 50
60 1 0.923 50
61 0 0.937 50
62 1 2.571 50
63 1 1.386 50
64 1 5.69 50
65 1 2.945 50
66 1 1.563 50
67 1 5.882 50
68 0 6.099 50
69 1 1.201 50
70 1 1.779 50
71 1 4.281 50
72 1 3.219 50
73 1 4.427 50
74 0 4.235 50
75 1 2.083 50
76 1 5.578 50
77 1 1.602 50
78 1 1.841 50
79 0 5.595 50
80 1 2.963 50
81 1 2.658 50
82 1 4.32 50
83 1 2.922 50
84 0 4.101 50
85 1 1.401 50
86 1 3.088 50
87 1 6.815 50
88 1 0.735 50
89 0 6.241 50
90 1 6.246 50
91 1 2.312 50
92 1 2.594 50
93 1 NA 50
94 1 1.733 50
95 1 3.496 50
96 1 5.323 50
97 1 2.973 50
98 1 4.338 50
99 1 3.403 50
100 1 2.882 50
101 1 2.171 50
102 0 7.018 50
103 1 1.312 50
104 1 1.536 50
105 1 3.233 50
106 1 4.711 50
107 1 2.198 50
108 0 1.449 50
109 0 NA 50
110 1 1.244 50
111 1 1.007 50
112 1 4.424 50
113 1 1.657 50
114 1 1.571 50
115 1 2.128 50
116 1 0.724 50
117 1 1.32 50
118 1 1.706 50
119 1 5.265 50
120 1 2.093 50
121 1 6.254 50
1 1 3.408 100
2 1 NA 100
3 1 1.216 100
4 1 1.454 100
5 1 2.514 100
6 1 3.205 100
7 1 4.554 100
8 1 4.204 100
9 1 2.421 100
10 1 3.149 100
11 1 1.508 100
12 1 3.816 100
13 1 1.387 100
14 1 2.964 100
15 1 2.033 100
16 1 1.694 100
17 1 2.294 100
18 1 2.661 100
19 1 0.882 100
20 1 5.889 100
21 1 2.28 100
22 1 1.489 100
23 1 4.605 100
24 1 3.156 100
25 1 3.079 100
26 1 4.592 100
27 1 2.939 100
28 1 2.369 100
29 1 3.821 100
30 1 1.473 100
31 1 4.617 100
32 1 2.002 100
33 1 3.469 100
34 1 2.296 100
35 1 4.166 100
36 1 2.536 100
37 1 3.326 100
38 1 2.267 100
39 1 4.596 100
40 1 1.671 100
41 1 2.009 100
42 1 2.934 100
43 1 3.042 100
44 1 3.967 100
45 1 2.453 100
46 1 4.691 100
47 1 4.148 100
48 1 6.237 100
49 1 4.742 100
50 1 2.388 100
51 0 7.405 100
52 1 2.521 100
53 1 2.532 100
54 1 4.66 100
55 0 2.177 100
56 1 2.117 100
57 1 1.116 100
58 1 2.045 100
59 1 2.597 100
60 1 2.117 100
61 1 0.972 100
62 1 2.829 100
63 1 1.931 100
64 1 6.812 100
65 1 4.06 100
66 1 4.349 100
67 1 2.468 100
68 1 5.972 100
69 1 1.54 100
70 1 3.036 100
71 1 1.8 100
72 0 3.717 100
73 1 3.884 100
74 1 3.452 100
75 1 2.508 100
76 1 2.326 100
77 1 4.629 100
78 1 3.926 100
79 1 3.069 100
80 1 2.293 100
81 1 3.109 100
82 0 3.67 100
83 0 7.102 100
84 1 5.263 100
85 1 4.243 100
86 1 2.861 100
87 1 5.951 100
88 1 1.316 100
89 0 5.857 100
90 0 2.517 100
91 1 3.683 100
92 1 2.886 100
93 1 2.381 100
94 0 NA 100
95 0 6.41 100
96 0 5.349 100
97 1 3.427 100
98 0 3.033 100
99 1 6.281 100
100 0 2.469 100
101 1 6.445 100
102 1 4.232 100
103 1 2.97 100
104 1 3.45 100
105 1 5.18 100
106 0 7.125 100
107 1 3.848 100
108 0 2.144 100
109 1 4.08 100
110 1 1.319 100
111 0 5.537 100
112 1 6.017 100
113 1 1.125 100
114 1 3.968 100
115 0 2.151 100
116 0 1.819 100
117 1 2.894 100
118 1 5.366 100
119 1 2.494 100
120 1 2.477 100
121 1 4.539 100
1 1 5.134 150
2 1 5.745 150
3 1 1.265 150
4 1 2.599 150
5 1 4.2 150
6 1 4.62 150
7 1 1.729 150
8 1 3.967 150
9 1 1.658 150
10 1 3.706 150
11 1 2.175 150
12 1 4.862 150
13 1 1.905 150
14 1 2.856 150
15 1 1.987 150
16 1 1.501 150
17 0 NA 150
18 1 5.497 150
19 1 2.88 150
20 1 5.957 150
21 1 4.48 150
22 1 5.205 150
23 1 3.066 150
24 1 4.209 150
25 1 2.767 150
26 1 NA 150
27 1 2.776 150
28 1 4.382 150
29 1 4.565 150
30 1 2.861 150
31 1 3.27 150
32 1 3.559 150
33 1 3.291 150
34 1 2.148 150
35 1 NA 150
36 1 3.284 150
37 1 2.789 150
38 1 2.904 150
39 1 4.832 150
40 1 1.277 150
41 1 2.806 150
42 1 3.119 150
43 1 NA 150
44 0 NA 150
45 1 6.097 150
46 0 NA 150
47 0 4.259 150
48 1 3.683 150
49 0 4.204 150
50 0 2.842 150
51 0 5.387 150
52 1 3.302 150
53 1 3.523 150
54 0 4.042 150
55 0 1.606 150
56 1 3.107 150
57 0 1.179 150
58 1 3.043 150
59 1 3.41 150
60 1 3.107 150
61 1 1.146 150
62 1 5.443 150
63 1 1.986 150
64 0 5.515 150
65 1 5.466 150
66 1 3.588 150
67 0 4.699 150
68 1 6.33 150
69 0 2.322 150
70 0 5.899 150
71 1 3.059 150
72 0 3.504 150
73 0 6.731 150
74 1 3.138 150
75 1 3.779 150
76 1 3.867 150
77 1 6.916 150
78 1 5.955 150
79 1 4.691 150
80 1 2.977 150
81 1 2.802 150
82 0 4.059 150
83 1 5.292 150
84 1 2.394 150
85 0 1.658 150
86 1 2.946 150
87 1 6.438 150
88 0 2.438 150
89 1 3.059 150
90 1 4.806 150
91 1 3.379 150
92 0 5.203 150
93 1 3.811 150
94 1 3.352 150
95 1 3.71 150
96 1 4.561 150
97 1 3.28 150
98 0 1.201 150
99 1 4.494 150
100 1 6.539 150
101 0 2.925 150
102 0 4.536 150
103 1 3.436 150
104 1 1.683 150
105 0 4.967 150
106 1 5.497 150
107 1 5.396 150
108 0 1.678 150
109 0 NA 150
110 1 1.447 150
111 1 4.958 150
112 0 5.823 150
113 0 4.567 150
114 1 6.527 150
115 1 5.638 150
116 1 1.145 150
117 0 6.635 150
118 0 3.218 150
119 1 5.482 150
120 1 4.732 150
121 1 4.609 150
1 1 2.653 50
2 1 4.169 50
3 1 3.109 50
4 1 1.812 50
5 1 1.362 50
6 1 2.036 50
7 1 2.808 50
8 1 3.049 50
9 1 1.64 50
10 1 2.185 50
11 1 0.936 50
12 1 5.144 50
13 1 1.601 50
14 1 1.693 50
15 1 1.59 50
16 1 2.497 50
17 1 1.301 50
18 1 2.257 50
19 1 1.363 50
20 1 NA 50
21 1 2.002 50
22 1 1.469 50
23 1 1.7 50
24 1 2.12 50
25 1 1.481 50
26 1 3.565 50
27 1 2.408 50
28 1 4.126 50
29 1 2.105 50
30 1 1.19 50
31 1 1.721 50
32 1 1.817 50
33 1 1.62 50
