id block condition stim stim_cat frequency response rt censor acc
1 1 speed 5015 nonword nw_low nonword 0.7 FALSE TRUE
1 1 speed 3623 word very_low nonword 0.392 FALSE FALSE
1 1 speed 6481 nonword nw_very_low nonword 0.46 FALSE TRUE
1 1 speed 3305 word very_low word 0.455 FALSE TRUE
1 1 speed 2244 word low nonword 0.505 FALSE FALSE
1 1 speed 4468 nonword nw_high nonword 0.773 FALSE TRUE
1 1 speed 1047 word high word 0.39 FALSE TRUE
1 1 speed 5711 nonword nw_low word 0.587 FALSE FALSE
1 1 speed 5036 nonword nw_low nonword 0.603 FALSE TRUE
1 1 speed 1111 word high word 0.435 FALSE TRUE
1 1 speed 6561 nonword nw_very_low nonword 0.524 FALSE TRUE
1 1 speed 1670 word high word 0.427 FALSE TRUE
1 1 speed 6207 nonword nw_very_low nonword 0.456 FALSE TRUE
1 1 speed 1424 word high word 0.622 FALSE TRUE
1 1 speed 1133 word high word 0.441 FALSE TRUE
1 1 speed 5290 nonword nw_low nonword 0.701 FALSE TRUE
1 1 speed 4410 nonword nw_high word 0.308 FALSE FALSE
1 1 speed 3194 word very_low word 0.696 FALSE TRUE
1 1 speed 2761 word low word 0.489 FALSE TRUE
1 1 speed 6482 nonword nw_very_low nonword 0.407 FALSE TRUE
1 1 speed 1667 word high word 0.436 FALSE TRUE
1 1 speed 3635 word very_low word 0.44 FALSE TRUE
1 1 speed 1363 word high word 0.412 FALSE TRUE
1 1 speed 2044 word low word 0.421 FALSE TRUE
1 1 speed 5112 nonword nw_low nonword 0.602 FALSE TRUE
1 1 speed 4577 nonword nw_high word 0.485 FALSE FALSE
1 1 speed 6647 nonword nw_very_low nonword 0.524 FALSE TRUE
1 1 speed 4515 nonword nw_high nonword 0.578 FALSE TRUE
1 1 speed 4050 nonword nw_high nonword 0.431 FALSE TRUE
1 1 speed 2724 word low word 0.631 FALSE TRUE
1 1 speed 5665 nonword nw_low nonword 0.495 FALSE TRUE
1 1 speed 2793 word low word 0.436 FALSE TRUE
1 1 speed 2858 word low word 0.488 FALSE TRUE
