id session block trial instruction source strength response response_num correct rt outlier acc
jf 2 1 21 accuracy dark 8 dark 1 TRUE 0.801 FALSE TRUE
jf 2 1 22 accuracy dark 7 dark 1 TRUE 0.68 FALSE TRUE
jf 2 1 23 accuracy light 19 light 2 TRUE 0.694 FALSE TRUE
jf 2 1 24 accuracy dark 21 light 2 FALSE 0.582 FALSE FALSE
jf 2 1 25 accuracy light 19 dark 1 FALSE 0.925 FALSE FALSE
jf 2 1 26 accuracy dark 10 dark 1 TRUE 0.605 FALSE TRUE
jf 2 1 27 accuracy light 20 light 2 TRUE 0.626 FALSE TRUE
jf 2 1 28 accuracy dark 14 dark 1 TRUE 0.736 FALSE TRUE
jf 2 1 29 accuracy light 10 dark 1 FALSE 0.662 FALSE FALSE
jf 2 1 30 accuracy light 15 light 2 TRUE 0.8 FALSE TRUE
jf 2 1 31 accuracy light 27 light 2 TRUE 0.563 FALSE TRUE
jf 2 1 32 accuracy dark 13 dark 1 TRUE 0.685 FALSE TRUE
jf 2 1 33 accuracy light 23 light 2 TRUE 0.625 FALSE TRUE
jf 2 1 34 accuracy dark 7 dark 1 TRUE 0.618 FALSE TRUE
jf 2 1 35 accuracy dark 8 dark 1 TRUE 0.911 FALSE TRUE
jf 2 1 36 accuracy dark 13 dark 1 TRUE 0.794 FALSE TRUE
jf 2 1 37 accuracy light 18 light 2 TRUE 0.558 FALSE TRUE
jf 2 1 38 accuracy light 19 light 2 TRUE 0.532 FALSE TRUE
jf 2 1 39 accuracy light 22 light 2 TRUE 0.482 FALSE TRUE
jf 2 1 40 accuracy light 12 dark 1 FALSE 0.604 FALSE FALSE
jf 2 1 41 accuracy light 16 dark 1 FALSE 0.986 FALSE FALSE
jf 2 1 42 accuracy light 10 dark 1 FALSE 0.622 FALSE FALSE
jf 2 1 43 accuracy light 15 light 2 TRUE 0.732 FALSE TRUE
jf 2 1 44 accuracy dark 19 light 2 FALSE 0.529 FALSE FALSE
jf 2 1 45 accuracy dark 8 dark 1 TRUE 0.578 FALSE TRUE
jf 2 1 46 accuracy light 13 light 2 TRUE 1.85 FALSE TRUE
jf 2 1 47 accuracy dark 7 dark 1 TRUE 1.03 FALSE TRUE
jf 2 1 48 accuracy light 20 light 2 TRUE 0.989 FALSE TRUE
jf 2 1 49 accuracy dark 18 light 2 FALSE 1.01 FALSE FALSE
jf 2 1 50 accuracy light 19 light 2 TRUE 1.318 FALSE TRUE
jf 2 1 51 accuracy light 20 light 2 TRUE 1.373 FALSE TRUE
jf 2 1 52 accuracy dark 21 light 2 FALSE 1.308 FALSE FALSE
jf 2 1 53 accuracy dark 3 dark 1 TRUE 0.743 FALSE TRUE
jf 2 1 54 accuracy dark 14 light 2 FALSE 1.948 FALSE FALSE
jf 2 1 55 accuracy light 18 light 2 TRUE 1.498 FALSE TRUE
jf 2 1 56 accuracy dark 10 dark 1 TRUE 0.783 FALSE TRUE
jf 2 1 57 accuracy dark 11 dark 1 TRUE 0.911 FALSE TRUE
jf 2 1 58 accuracy dark 8 dark 1 TRUE 0.73 FALSE TRUE
jf 2 1 59 accuracy light 19 light 2 TRUE 0.691 FALSE TRUE
jf 2 1 60 accuracy dark 13 dark 1 TRUE 0.867 FALSE TRUE
jf 2 1 61 accuracy light 12 dark 1 FALSE 0.861 FALSE FALSE
